Doctor_ID,Name,Specialization,Phone,Email,Experience_Years
D047,Debbie Gonzales,Dermatologist,539-118-5402x8331,michael14@yahoo.com,25
D048,Kevin Joseph,Neurologist,363-980-7965x0665,matthew03@gmail.com,8
D049,Susan Murphy,General Physician,001-935-176-9557x8182,anna91@bennett-gonzales.org,25
D050,Monica Hughes,Cardiologist,961-541-8968,rebecca79@barnes-michael.org,20
D051,Cody Love,General Physician,001-818-476-2194x99221,kaylagreene@hotmail.com,10
D052,John Hughes,General Physician,001-520-081-4287x297,othomas@bennett-newman.info,10
D053,Sara Calderon,Dermatologist,(765)081-7822,jacksontyler@gregory-cook.com,29
D054,Nicholas Norman,Dermatologist,321.210.3380x772,charlene10@beasley-miles.com,6
D055,Anna King,Orthopedic,586-068-0653,kserrano@hotmail.com,28
D056,Gary Winters,Neurologist,+1-152-496-6874x0110,kgallegos@hotmail.com,21
D057,Angela Rodriguez,Dermatologist,(988)248-7428x077,john04@norman.biz,5
D058,Jessica Estrada,Pediatrician,001-955-085-3957,thomasmcdonald@mitchell.com,6
D059,Jason Lee,Dermatologist,578.658.1645x621,hollymorgan@fernandez.com,28
D060,Sharon Martin,Dermatologist,001-000-069-7040x361,mendozabryan@finley-thompson.info,35
D061,Deborah Williams,Neurologist,001-859-221-8640x11572,marvincrawford@gmail.com,13
D062,Mary Lindsey,Cardiologist,995-328-4842x370,james93@whitehead-castro.com,17
D063,Denise King,Dermatologist,152-848-7930,willie25@gmail.com,9
D064,Alex Blanchard,Cardiologist,348.100.6370,jchase@rodriguez.com,4
D065,Katie Thomas,Orthopedic,(599)936-0276x220,edward79@hotmail.com,27
D066,John Guzman,Orthopedic,(736)567-0937x503,jane99@lewis-jones.net,33
D067,Michael Miller,General Physician,+1-054-551-4995x8422,ljohnson@gmail.com,1
D068,James Scott,Orthopedic,(272)164-0648,kmarquez@fox.com,12
D069,Marcus Walsh,Orthopedic,001-075-757-3661x49575,jenna96@gmail.com,4
D070,Ronald Farmer,Neurologist,(352)283-7199x2274,swoodard@yahoo.com,8
D071,Jesse Tucker,Dermatologist,+1-892-210-2913x13981,kathysmith@strong.com,19
D072,Melissa Christensen,Dermatologist,+1-007-647-4081x8522,jesse00@vasquez.info,27
D073,Peggy Vance DVM,Neurologist,710.498.1411,qking@morse.info,7
D074,Joseph Saunders,Cardiologist,308-391-9979,rthomas@gmail.com,9
D075,Brandon Wilkinson,Orthopedic,328-481-1370x99100,cmcintyre@hotmail.com,30
D076,Molly Gonzales,Dermatologist,178-484-9816,stephanie65@wright-saunders.com,7
D077,Christina Fleming,Dermatologist,(136)213-8255x623,hensonmichael@hotmail.com,25
D078,Laura Thomas,Cardiologist,4095407457,nhardin@french-may.com,9
D079,William Walsh,Neurologist,(153)419-7405,davidlopez@gmail.com,15
D080,Emily Cameron,Orthopedic,213-326-0260x271,lijohnny@woodward.com,28
D081,Christine Le,Pediatrician,001-765-746-8065x469,mossangela@gmail.com,2
D082,Kristin Calhoun,Dermatologist,632.795.0418,parrisherica@doyle.com,31
D083,Brandon Williams,Orthopedic,(147)465-3071x598,brittanyjefferson@hotmail.com,26
D084,Nancy Thompson,Neurologist,(808)935-8295x282,danielle49@hotmail.com,22
D085,Nicholas Carter,General Physician,(851)867-4940x436,valerie25@gmail.com,8
D086,Diana Arnold,Orthopedic,+1-440-994-6642x46252,kristina79@gmail.com,4
D087,Stephanie Vargas,Cardiologist,5554429751,garzasusan@gmail.com,27
D088,Jessica Robinson,Orthopedic,5274709066,richardsonderek@wang.com,19
D089,Mark Harris,General Physician,-9185,curtis63@yahoo.com,13
D090,Ryan Clayton,Dermatologist,001-067-431-6346,edward91@gmail.com,14
D091,Ashley Black,Dermatologist,(050)460-4794,jacquelineperry@peterson.org,30
D092,Andrew Mayo,General Physician,-8556,tcain@hotmail.com,9
D093,Kevin Boyd,Pediatrician,001-160-416-4289x528,eric67@yahoo.com,19
D094,Michael Campos,Neurologist,+1-521-660-7836x1716,troy37@lewis.com,14
D095,Brooke Lara,Pediatrician,(728)767-0790x222,sarah43@hotmail.com,30
D096,Kelly Pratt,Pediatrician,+1-823-875-8510x7936,john76@gmail.com,31
D097,Joseph Jackson,General Physician,001-456-709-3999x57739,robertlandry@gmail.com,21
D098,Stephen Stevens,Pediatrician,722.925.1544x47530,boothcolleen@medina.net,19
D099,Kimberly Rogers,Orthopedic,(346)342-0735x321,sharon36@davis.org,19
D100,Charles Gibson,Cardiologist,740-353-4710x3769,madisonhooper@yahoo.com,33
D101,Patrick Parker,Pediatrician,(809)318-9172,angela28@brooks-haynes.com,19
D102,Richard Huang,Dermatologist,(908)668-1235,kellylewis@lynch.com,14
D103,Paul Nelson,Pediatrician,001-722-259-3759,brianna41@hotmail.com,29
D104,Melissa Lopez,Pediatrician,(496)429-4705x97811,osbornenicholas@brown-anderson.info,20
D105,Richard Taylor,Dermatologist,477-267-6009x428,penningtonsarah@gmail.com,11
D106,John Patrick,General Physician,7454003265,michelle88@gmail.com,30
D107,Keith Kramer,General Physician,(538)589-5355x53289,douglas39@yahoo.com,26
D108,Zachary Flores,General Physician,192.558.5657x02877,yaustin@yahoo.com,25
D109,Evelyn Bryant,General Physician,001-990-687-2388x5451,kristireyes@cannon.net,1
D110,Jamie Henderson,Neurologist,705-823-1903x9662,turnerjack@white.com,6
D111,Ralph Owens,Neurologist,-11439,carlosrobinson@jones-henderson.org,24
D112,Luis Morrison,Pediatrician,486.586.5780x87408,juarezmichael@yahoo.com,14
D113,Rachel Williams,General Physician,201.967.8761,lwalsh@gmail.com,21
D114,Christopher Finley,Cardiologist,(460)022-4871,smithleslie@gmail.com,5
D115,Gwendolyn Bailey,Neurologist,001-895-609-0249x35665,molinaanita@ball.com,6
D116,Lisa Reed,Neurologist,-11126,bradley94@hotmail.com,6
D117,Kathryn Nixon,Dermatologist,085.681.6513x07679,matthewrubio@gmail.com,9
D118,Rick Swanson,Orthopedic,9802850557,ashleeobrien@gmail.com,20
D119,Amy Estrada,General Physician,101-037-8984,bberger@hunt.com,32
D120,Philip Lopez,Cardiologist,(265)294-7509x0396,angelica19@garcia-gray.net,23
D121,Jeanne Miller,Cardiologist,+1-513-610-6071x041,felicia30@floyd-wallace.biz,26
D122,Jacqueline Stevens,Orthopedic,936-241-8352x780,ghanson@maldonado-williams.org,15
D123,Melinda Ramirez,General Physician,523.104.2334,robin33@gmail.com,2
D124,Timothy French,Cardiologist,+1-739-402-3445x19383,ewilliams@hotmail.com,28
D125,Gregory Brown,Cardiologist,001-396-463-0024x0827,aguilardawn@yahoo.com,25
D126,Lisa Johnson,Neurologist,461.726.9336x9015,ajackson@golden.com,25
D127,Michael Ortega,Cardiologist,123-878-7703x98665,keith64@pratt.com,27
D128,Gregory Blair,Dermatologist,189-068-6320x301,uware@hotmail.com,10
D129,Victoria Hill,Dermatologist,425-041-5680x165,riverascott@kirby.org,21
D130,Amanda Barr,Cardiologist,191-142-8985,robin27@ruiz.com,5
D131,Dr. Miguel Finley Jr.,Cardiologist,757.647.1334,osbornlaura@jones.com,16
D132,Edward Castillo,Orthopedic,+1-211-286-8552x8044,jeffrey29@gmail.com,2
D133,Albert Jackson,Orthopedic,001-258-002-3999x7630,nbrown@blackburn.net,26
D134,Heather Krause,Pediatrician,102-961-3398x552,dtorres@hotmail.com,31
D135,Jaime Thompson,Neurologist,+1-385-528-2112x698,kennethbraun@yahoo.com,16
D136,Meghan Marks,Pediatrician,973-097-8948x815,tapiamichael@baker.com,6
D137,Alexandra Richard,General Physician,084-204-2764x033,joneskimberly@thomas.com,13
D138,Joyce Ellis,Pediatrician,066-821-6046,janderson@yahoo.com,9
D139,Matthew Knight,Orthopedic,792.722.3629,mshannon@hotmail.com,26
D140,Edward Davis,Pediatrician,304-562-9092,gregorytim@mercer.com,17
D141,Kelly Hernandez,Neurologist,001-794-432-8253x26064,jordanjesse@gmail.com,35
D142,Mr. William Hernandez,Cardiologist,-10705,jchristensen@wright-hernandez.com,13
D143,Sharon Dawson,General Physician,894.684.5530,galvanpriscilla@moore-mcdonald.com,11
D144,Sean Sims,Dermatologist,(140)213-2701x589,simmonsshawn@lewis-williams.com,18
D145,Melissa Osborne,Pediatrician,001-497-197-4796x630,williamsjoshua@gmail.com,21
D146,April Sandoval,Cardiologist,065-881-3155x08783,christinagamble@gmail.com,29
D147,Rebecca Robinson,Pediatrician,001-746-290-8803x9104,uhernandez@gmail.com,17
D148,Kelly Hawkins,Pediatrician,001-285-384-5792x797,williamslarry@williams-bautista.com,4
D149,Anna Ramirez,Orthopedic,993-372-7856x542,melissa60@yahoo.com,26
D150,Stephanie Jackson,Dermatologist,813.528.4977,alicia16@dunlap-owens.com,4
D151,Charles Miller,Dermatologist,455-260-6645x625,phillip33@edwards.com,29
D152,Scott Garcia,Dermatologist,(703)876-8398,rblake@cook-skinner.com,12
D153,Barbara Rivas,Dermatologist,001-088-803-1452x814,hunter29@hotmail.com,16
D154,Brian Shaffer,Orthopedic,(944)786-6918,elizabeth68@hotmail.com,35
D155,Denise Martinez,Cardiologist,+1-826-171-9222x310,paulzimmerman@hotmail.com,29
D156,Brian Day,Neurologist,016-343-4310,rogerstaylor@hotmail.com,35
D157,Michelle Johnson,Neurologist,+1-442-504-5543x707,browndale@gmail.com,17
D158,Jennifer Johnson,Pediatrician,+1-792-568-6868x38205,omason@murphy.info,12
D159,Tiffany Wolf,General Physician,(863)411-9983x0936,ericapope@mcmahon.org,17
D160,Derek Bryant,Orthopedic,(632)410-5487x9520,nicholasbrennan@nichols-davis.net,12
D161,Gabriella Green,Dermatologist,184-802-1612,lori25@gmail.com,12
D162,Elizabeth Smith,General Physician,+1-565-459-6037x17305,ronnie18@yahoo.com,14
D163,Nathan Morales,General Physician,(539)990-7885x0472,nicole66@gmail.com,27
D164,Andrew Foster,Orthopedic,515-396-6068x6009,qmontgomery@bennett-hill.net,32
D165,Rachel Smith,Pediatrician,(618)948-1083,norma68@galvan.net,34
D166,James Hart,Neurologist,(094)018-4443,richardsjoan@gmail.com,7
D167,Joe Gonzales,Orthopedic,-3819,xbridges@hotmail.com,26
D168,Albert Bernard,Cardiologist,+1-289-055-1126x19131,joseph05@mcdowell-berg.biz,9
D169,Tanya Smith,Pediatrician,001-875-231-9609x24368,jason62@hotmail.com,25
D170,John Gonzalez,Orthopedic,5588464747,jonathan93@gmail.com,29
D171,Thomas Yoder,Orthopedic,249-951-9460,matthew80@hotmail.com,4
D172,Manuel Mcgee,Neurologist,(986)447-4362x034,qbrowning@mcconnell-castro.com,12
D173,Robin Gibbs,General Physician,511-112-1547x846,rachaelfigueroa@clay.com,1
D174,Dawn Schmidt,Pediatrician,915-434-7897x58446,lynnhuerta@nelson-johnson.biz,5
D175,Patricia Bailey,Cardiologist,737.066.7764,qthompson@mccall.com,2
D176,Matthew Harris,Dermatologist,(209)623-1714x9017,rodneymartin@sellers-parker.info,15
D177,Kenneth Munoz,Neurologist,(717)854-0950,joshua76@hotmail.com,16
D178,Michelle Zhang,General Physician,967-359-2782,hpeck@yahoo.com,27
D179,Richard Mcguire,Pediatrician,001-307-756-1290,shernandez@green.org,9
D180,Elizabeth Sutton,Pediatrician,8327223091,myersmichael@santana.biz,13
D181,Beth Davis,Neurologist,936.495.9515x79994,kburns@taylor.com,19
D182,Karina King,Pediatrician,888.452.1054x605,john50@lee-rocha.com,22
D183,Lisa Anderson,Neurologist,(132)658-4392,mlopez@hill.com,15
D184,Tiffany Zavala,Dermatologist,+1-320-109-3212x1634,jenna38@todd-bryant.com,6
D185,Matthew Ball,Orthopedic,616.472.4546,alexis65@hotmail.com,23
D186,Olivia Wells,Pediatrician,740.586.4551,ljones@williams-rodriguez.biz,17
D187,James Bates,General Physician,178-796-1825x76826,mdavis@hotmail.com,17
D188,Nicole Brown,Dermatologist,836-369-6970,ryan51@hill.com,15
D189,Karen Brown,Cardiologist,(788)398-1780,destinyholt@blanchard.com,1
D190,Steven Jones,Dermatologist,919-437-1679x72897,etaylor@yahoo.com,1
D191,Michael Booker,Orthopedic,124.760.3132x267,stephenreed@morales-davis.com,29
D192,Gary Mann,General Physician,+1-612-297-8337x78534,jasongonzalez@yahoo.com,23
D193,Amanda Lewis,Pediatrician,001-308-339-3913,rhodessandy@yahoo.com,16
D194,Daniel Clark,Pediatrician,(222)755-1529x1566,michael97@yahoo.com,17
D195,Adam Vasquez,Neurologist,519-250-3436,james37@warner-gonzalez.biz,13
D196,Phillip Austin,General Physician,001-592-916-6928x945,david13@henson.com,16
D197,Matthew Cooper,Orthopedic,+1-735-927-0265x70190,mary98@gmail.com,14
D198,Lauren Foley,Pediatrician,001-160-095-9656,marcusconway@hotmail.com,9
D199,Dale Johnson,General Physician,4759755619,lance34@yahoo.com,10
D200,Nancy Hernandez,Pediatrician,001-025-666-9680,christopher15@herman-woods.com,20
